"area_acres","pop_log2"
12,713
24,2270.66666666667
48,2827.44736842105
96,3370.96428571429
192,4126.20930232558
384,4162.60402684564
768,4651.3
1536,5067.25735294118
3072,5466.53968253968
6144,5611.26851851852
12288,5593.7
24576,6989.66666666667
