-91.002	-62.693	19.541	57.502	63.798	69.023	-156.416	-21.732	 nan
-142.290	-93.131	21.679	49.689	53.370	63.932	-123.532	-21.163	 nan
-89.968	-49.063	22.246	53.828	-38.527	-37.774	-152.363	23.092	 nan
-91.758	-45.557	43.083	50.523	-42.585	-34.928	-123.553	15.213	 nan
-365.447	-334.595	-23.087	-506.356	-242.491	-22.842	-346.547	-22.476	 nan
-388.035	-244.204	-21.531	-473.250	-198.615	158.294	-251.259	33.328	 nan
-6.602	-6.852	-5.576	12.256	7.204	-14.525	-22.746	21.966	 nan
-6.129	-6.391	-2.698	-5.405	5.206	5.791	-14.230	8.588	 nan
-29.023	-18.932	5.008	-37.088	-15.094	3.675	9.042	2.501	 nan
-19.757	-13.222	7.893	-67.781	-22.991	26.988	5.303	4.228	 nan
