# tiempo [s], press [mBar], Temp [C]
0.0, 1000.0, 158.7376518212443 
1.5950000286102295, 1000.0, 158.7376518212443 
3.197000026702881, 1000.0, 158.7376518212443 
5.119000196456909, 1000.0, 158.66210771885986 
7.039999961853027, 1000.0, 158.43644785685515 
8.963000059127808, 1000.0, 158.02647915095451 
10.564000129699707, 1000.0, 157.6579073548953 
12.159000158309937, 1000.0, 157.3294879504737 
14.08899998664856, 1000.0, 156.96817061319595 
15.680999994277954, 1000.0, 156.61056562587416 
17.28500008583069, 1000.0, 156.2566026538818 
19.204999923706055, 1000.0, 155.90621329012959 
20.80400013923645, 1000.0, 155.5593309862611 
22.407999992370605, 1000.0, 155.21589098686252 
24.005000114440918, 1000.0, 154.8758302665318 
25.931000232696533, 1000.0, 154.505593361978 
27.528000116348267, 1000.0, 154.1724313376344 
29.132999897003174, 1000.0, 153.84246357172458 
30.72700023651123, 1000.0, 153.51563352941076 
32.33200001716614, 1000.0, 153.1596788500517 
34.24600005149841, 1000.0, 152.83926039073202 
35.848999977111816, 1000.0, 152.4902301487164 
37.450000047683716, 1000.0, 152.17599301619785 
39.05200004577637, 1000.0, 151.8336405713721 
40.973999977111816, 1000.0, 151.52536638203298 
42.57599997520447, 1000.0, 151.1894577095707 
44.17799997329712, 1000.0, 150.85683493556306 
45.77999997138977, 1000.0, 150.52743870175124 
47.700000047683716, 1000.0, 150.2012112021579 
49.29200005531311, 1000.0, 149.87809613018226 
50.89500021934509, 1000.0, 149.587009834195 
52.50099992752075, 1000.0, 149.24098523751982 
54.42300009727478, 1000.0, 148.92688385471791 
56.013999938964844, 1000.0, 148.61568368404087 
57.617000102996826, 1000.0, 148.3073351960018 
59.22000002861023, 1000.0, 148.00179008594517 
61.13700008392334, 1000.0, 147.67161005167196 
62.73699998855591, 1000.0, 147.3717756358047 
64.3420000076294, 1000.0, 147.04771734489123 
65.94099998474121, 1000.0, 146.75339788658684 
67.86199998855591, 1000.0, 146.43525315423602 
69.46499991416931, 1000.0, 146.12011453511298 
71.06300020217896, 1000.0, 145.83383337959427 
72.66799998283386, 1000.0, 145.52431082767583 
74.58300018310547, 1000.0, 145.21764489835334 
76.18300008773804, 1000.0, 144.91378683188327 
77.79200005531311, 1000.0, 144.6126890744096 
79.38599991798401, 1000.0, 144.31430523906656 
81.31200003623962, 1000.0, 144.01859006862912 
82.91300010681152, 1000.0, 143.701192285669 
84.50800013542175, 1000.0, 143.41089621708073 
86.10599994659424, 1000.0, 143.123136006492 
88.02800011634827, 1000.0, 142.8142098917465 
89.63199996948242, 1000.0, 142.53160214112648 
91.23399996757507, 1000.0, 142.22816496749462 
92.83100008964539, 1000.0, 141.92751069536817 
94.75399994850159, 1000.0, 141.65241283723574 
96.35700011253357, 1000.0, 141.3569785444549 
97.95300006866455, 1000.0, 141.06419231650958 
99.55200004577637, 1000.0, 140.7740102117718 
101.47200012207031, 1000.0, 140.4863893456411 
103.08100008964539, 1000.0, 140.20128785737575 
104.6800000667572, 1000.0, 139.91866487819698 
106.27600002288818, 1000.0, 139.63848050061753 
108.19400000572205, 1000.0, 139.3394259862999 
109.80400013923645, 1000.0, 139.06418289452728 
111.39500021934509, 1000.0, 138.79126133439456 
113.00500011444092, 1000.0, 138.4999004791262 
114.91799998283386, 1000.0, 138.21114573508265 
116.51900005340576, 1000.0, 137.9453121047287 
118.12400007247925, 1000.0, 137.661462403423 
119.72099995613098, 1000.0, 137.4001114483253 
121.64199995994568, 1000.0, 137.12101349690982 
123.2480001449585, 1000.0, 136.84432136294166 
124.84899997711182, 1000.0, 136.56999661233982 
126.4430000782013, 1000.0, 136.2980017016478 
128.364000082016, 1000.0, 136.00912233678193 
129.9630000591278, 1000.0, 135.7418377914816 
131.57200002670288, 1000.0, 135.4767730634341 
133.16999983787537, 1000.0, 135.1951996355265 
135.08500003814697, 1000.0, 134.93462522083814 
136.69500017166138, 1000.0, 134.65778697214492 
138.29500007629395, 1000.0, 134.40156284732322 
139.89100003242493, 1000.0, 134.1293131730411 
141.8159999847412, 1000.0, 133.85938154174434 
143.41799998283386, 1000.0, 133.59173135153344 
145.0130000114441, 1000.0, 133.32632683908943 
146.60999989509583, 1000.0, 133.06313305459756 
148.53900003433228, 1000.0, 132.80211583758262 
150.13500022888184, 1000.0, 132.54324179363698 
151.7150001525879, 1000.0, 132.28647827198773 
153.3159999847412, 1000.0, 132.01488748539532 
155.23600006103516, 1000.0, 131.76238532075982 
156.85900020599365, 1000.0, 131.51189796281565 
158.43850016593933, 1000.0, 131.2468986016542 
160.04150009155273, 1000.0, 130.98412228574387 
161.96199989318848, 1000.0, 130.7397576802647 
163.5590000152588, 1000.0, 130.4811907301348 
165.48449993133545, 1000.0, 130.22474737302645 
167.08400011062622, 1000.0, 129.98623157941438 
168.68499994277954, 1000.0, 129.7338111928683 
170.28600001335144, 1000.0, 129.48342131963636 
171.88700008392334, 1000.0, 129.21957300780173 
173.48499989509583, 1000.0, 128.97327602145504 
175.40650010108948, 1000.0, 128.71371014702885 
177.007000207901, 1000.0, 128.4713826982004 
178.60800004005432, 1000.0, 128.23093708254197 
180.2095000743866, 1000.0, 127.9774951915715 
182.12999987602234, 1000.0, 127.74084575687078 
183.73100018501282, 1000.0, 127.49137793403878 
185.33100008964539, 1000.0, 127.25841410014684 
186.93300008773804, 1000.0, 127.01280535757223 
188.85349988937378, 1000.0, 126.7691413315387 
190.4539999961853, 1000.0, 126.58410438476105 
192.0614767074585, 1000.0, 126.28753360709 
193.661447763443, 1000.0, 126.04953450881736 
