# Frecuencia [Hz], Transferencia [V2/V1]
50086.0, 0.132969375
50086.20202020202, 0.13092307692307692
50086.40404040404, 0.13092307692307692
50086.606060606064, 0.135628125
50086.80808080808, 0.13621315384615382
50087.0101010101, 0.141106640625
50087.21212121212, 0.14392757812499998
50087.41414141414, 0.14392578124999997
50087.61616161616, 0.14454576923076923
50087.818181818184, 0.14743707692307692
50088.020202020205, 0.153336
50088.22222222222, 0.15573046875
50088.42424242424, 0.159468
50088.62626262626, 0.16265861538461537
50088.82828282828, 0.16591084615384616
50089.030303030304, 0.1692297692307692
50089.232323232325, 0.1753125
50089.43434343435, 0.17881875
50089.63636363636, 0.18311200000000002
50089.83838383838, 0.18677376923076922
50090.0404040404, 0.19348523437499998
50090.242424242424, 0.20122375000000003
50090.444444444445, 0.206052
50090.64646464647, 0.21345890625
50090.84848484849, 0.21858
50091.0505050505, 0.22295238461538464
50091.25252525252, 0.23096624999999998
50091.454545454544, 0.236508
50091.656565656565, 0.24981124999999998
50091.85858585859, 0.25480875000000003
50092.06060606061, 0.260924
50092.26262626263, 0.2661415384615385
50092.46464646464, 0.2811128125
50092.666666666664, 0.2923578125
50092.868686868685, 0.30405374999999996
50093.07070707071, 0.316216875
50093.27272727273, 0.322543125
50093.47474747475, 0.330284
50093.67676767677, 0.34886312499999994
50093.878787878784, 0.3628178125
50094.080808080806, 0.370072734375
50094.28282828283, 0.3848771875
50094.48484848485, 0.394116
50094.68686868687, 0.41776230769230766
50094.88888888889, 0.44126062499999996
50095.09090909091, 0.45008695312499997
50095.292929292926, 0.45908765625
50095.49494949495, 0.46106353846153847
50095.69696969697, 0.477634921875
50095.89898989899, 0.47763671875
50096.10101010101, 0.48718945312500006
50096.30303030303, 0.47744374999999994
50096.50505050505, 0.47009999999999996
50096.707070707074, 0.46069799999999994
50096.90909090909, 0.46789453125
50097.11111111111, 0.44917875
50097.31313131313, 0.44019609374999996
50097.51515151515, 0.4247546153846153
50097.71717171717, 0.414135
50097.919191919194, 0.39757125
50098.121212121216, 0.3816675
50098.32323232323, 0.36076430769230766
50098.52525252525, 0.344418203125
50098.72727272727, 0.337529609375
50098.92929292929, 0.31904492307692306
50099.131313131315, 0.317550625
50099.333333333336, 0.29390546153846153
50099.53535353536, 0.28655625
50099.73737373737, 0.28082359375
50099.93939393939, 0.26959125
50100.14141414141, 0.25880625
50100.343434343435, 0.24972661538461538
50100.545454545456, 0.23973784615384613
50100.74747474748, 0.23374499999999998
50100.9494949495, 0.22439625
50101.15151515151, 0.219906640625
50101.35353535353, 0.20786215384615386
50101.555555555555, 0.2068871875
50101.757575757576, 0.19861125
50101.9595959596, 0.19463718749999998
50102.16161616162, 0.18685125
50102.36363636364, 0.1793775
50102.56565656565, 0.175791328125
50102.767676767675, 0.172277109375
50102.969696969696, 0.16284184615384617
50103.17171717172, 0.1628423076923077
50103.37373737374, 0.15877124999999997
50103.57575757576, 0.1532003846153846
50103.77777777778, 0.14937
50103.979797979795, 0.14638367187499998
50104.181818181816, 0.14345515625
50104.38383838384, 0.138425
50104.58585858586, 0.13565461538461537
50104.78787878788, 0.13565384615384615
50104.9898989899, 0.1322625
50105.19191919192, 0.129616484375
50105.393939393936, 0.12702484374999998
50105.59595959596, 0.12256784615384617
50105.79797979798, 0.1219946875
50106.0, 0.11955617187499999 
