# tiempo [s], press [mBar], Temp [C]
0.0, 0.0512, 29.691377127061457 
1.5729868412017822, 0.0514, 29.683180871010222 
3.1959798336029053, 0.0512, 29.674988050760305 
5.118962287902832, 0.0512, 29.666798663585638 
6.720947027206421, 0.0512, 29.658612706763478 
7.994935035705566, 0.0512, 29.653157306623854 
9.91991662979126, 0.0512, 29.64497706101372 
11.521901369094849, 0.0512, 29.64497706101372 
13.123886108398438, 0.0512, 29.66952807802545 
14.725871086120605, 0.0512, 29.735148632331374 
16.64885950088501, 0.0512, 29.8505172380558 
18.25085949897766, 0.0512, 30.01651871468951 
19.852859497070312, 0.0512, 30.234446123035013 
22.087859392166138, 0.0512, 30.585959306148084 
23.692859411239624, 0.0518, 30.88570701772852 
25.602859497070312, 0.0522, 31.21370292301171 
27.215859413146973, 0.0524, 31.56227292597552 
28.816859483718872, 0.0524, 31.926289725316025 
30.41585946083069, 0.0522, 32.3033698611211 
32.33385944366455, 0.0522, 32.69094346235107 
33.937859296798706, 0.0522, 33.07973853255214 
35.53985953330994, 0.0522, 33.47627834521168 
37.134859561920166, 0.0522, 33.870729596395535 
39.05785942077637, 0.0533, 34.269676155606305 
40.65985941886902, 0.0535, 34.666187449520436 
42.26185941696167, 0.0533, 35.06352053986305 
43.85785937309265, 0.0535, 35.45789445056971 
45.782859563827515, 0.0535, 35.85268336368904 
47.383859395980835, 0.0535, 36.24394107477141 
48.98785948753357, 0.0533, 36.63516211499788 
50.5848593711853, 0.0537, 37.022230498685474 
52.502859592437744, 0.0545, 37.40876428294828 
54.10585927963257, 0.0545, 37.79457324773023 
55.704859495162964, 0.0545, 38.1752804112983 
57.31185960769653, 0.0545, 38.55469663661543 
59.223859548568726, 0.0545, 38.928266084621754 
60.82685947418213, 0.0549, 39.295519546339705 
62.43285942077637, 0.0555, 39.660465669216535 
64.03085947036743, 0.0555, 40.02284813136413 
65.95085954666138, 0.0555, 40.38240113462891 
67.54885935783386, 0.0555, 40.73884947020994 
69.15185952186584, 0.0562, 41.09672107109026 
70.75585961341858, 0.0566, 41.446178996304866 
72.67285943031311, 0.0566, 41.796628895855804 
74.27985954284668, 0.0566, 42.14800937871675 
75.87985944747925, 0.0566, 42.49510778890743 
77.47485947608948, 0.0576, 42.84282922117694 
79.40085935592651, 0.0576, 43.1804576289766 
80.99885964393616, 0.0576, 43.523605316751286 
82.58985948562622, 0.0576, 43.86145633330071 
84.20285964012146, 0.0576, 44.1992317678713 
86.12085938453674, 0.0585, 44.53115844336408 
87.71785926818848, 0.0589, 44.86262010590208 
89.32085943222046, 0.0587, 45.18765239382218 
90.92185926437378, 0.0587, 45.51774368281596 
92.84585928916931, 0.0593, 45.840978527946774 
94.44685959815979, 0.0599, 46.16307494493242 
96.04685950279236, 0.0599, 46.47768121544789 
97.64385938644409, 0.0599, 46.80330233128761 
99.56585931777954, 0.0605, 47.11474302254973 
101.16385960578918, 0.061, 47.43077962032646 
102.77085947990417, 0.061, 47.74494784247311 
104.36785960197449, 0.061, 48.06377835718469 
106.28985929489136, 0.0614, 48.373821898026875 
107.89385938644409, 0.062, 48.68839066967213 
109.49585938453674, 0.062, 48.99363360429457 
111.09285950660706, 0.062, 49.30324790563887 
113.01685953140259, 0.0626, 49.60297681224934 
114.61985945701599, 0.063, 49.906906465331645 
116.21285939216614, 0.0632, 50.20775949372627 
117.81285953521729, 0.063, 50.50534022936003 
119.40485954284668, 0.0639, 50.8070424198784 
121.33485960960388, 0.0641, 51.10527458913185 
122.93385934829712, 0.0641, 51.40763388164106 
124.5348596572876, 0.0643, 51.70631438904341 
