AMP_VRMS, phase 
0.0008295069650099389, -112.092 
0.0008178609163237965, -112.098 
0.0008064340707398218, -112.086 
0.0007937344329497115, -112.05 
0.0007826187143494589, -111.966 
0.0007711847976976724, -111.996 
0.000759644815028708, -111.978 
0.0007486351624456334, -111.96 
0.0007364163572667299, -111.894 
0.0007250885066321214, -111.93 
0.0007134990264884739, -111.858 
0.0007017483259987158, -111.786 
0.0006900527798378904, -111.762 
0.0006792524308620471, -111.762 
0.0006677676025220151, -111.732 
0.0006564404589941878, -111.612 
0.0006454293921975509, -111.588 
0.0006335754541177397, -111.63 
0.000622512061419295, -111.522 
0.0006118701043624373, -111.468 
0.000600595993843199, -111.474 
0.0005893742092257686, -111.45 
0.0005783631424291317, -111.348 
0.0005672474238288791, -111.312 
0.0005558672472924628, -111.264 
0.0005454360080563988, -111.288 
0.0005344256483665431, -111.162 
0.0005234145815699062, -111.138 
0.0005126142325940629, -111.036 
0.000501129404254031, -111.0 
0.0004905397730989812, -110.928 
0.0004802669257819031, -110.862 
0.000469308184887074, -110.796 
0.000458403184107615, -110.736 
0.0004477612270507575, -110.58 
0.00043664480134372383, -110.526 
0.0004257900051457291, -110.514 
0.00041578020155125234, -110.37 
0.00040545432122558516, -110.346 
0.0003943909285271404, -110.202 
0.0003838012973720907, -110.082 
0.0003739498856965997, -109.962 
0.00036362329826415137, -109.818 
0.0003526129385742957, -109.8 
0.0003424447430608331, -109.71 
0.00033222422164556274, -109.47 
0.0003217399494009098, -109.512 
0.00031125638426303804, -109.326 
0.0003018257011223531, -109.086 
0.00029060391650492253, -108.882 
0.0002804364280982412, -108.756 
0.00026995215585358823, -108.528 
0.00026046914681109544, -108.294 
0.00024987951565604575, -108.144 
0.0002396589942407754, -107.928 
0.00023022901820687156, -107.514 
0.00021927027731204248, -107.37 
0.00021005031199215106, -106.836 
0.0002001458673080711, -106.734 
0.00019013606371359433, -106.122 
0.00018012626011911756, -105.744 
0.0001702211083282564, -105.366 
0.0001608964912047494, -104.85 
0.00015125509024327082, -104.25 
0.00014069232914590618, -103.452 
0.0001313408419647141, -102.78 
0.00012156791914193481, -101.814 
0.0001125063457410292, -100.818 
0.00010315485855983711, -99.534 
9.338193573705785e-05, -97.872 
8.358284996337467e-05, -96.234 
7.454743951337295e-05, -93.768 
6.639485187968267e-05, -91.392 
5.70435061198468e-05, -87.69 
4.9009076029292784e-05, -82.224 
4.1053841898231646e-05, -74.862 
3.3467434664237414e-05, -65.16 
2.8883968508586214e-05, -50.55 
2.5788679284620216e-05, -32.388 
2.6848985903009447e-05, -10.644 
2.9753214874698832e-05, 6.852 
3.533108529673268e-05, 20.31 
4.318753661046205e-05, 29.31 
5.043156274100576e-05, 35.214 
5.915089645981708e-05, 40.404 
6.738268005300027e-05, 43.338 
7.61278231693249e-05, 46.812 
8.381973073507216e-05, 48.054 
9.360608858669398e-05, 49.812 
0.00010306293467828286, 51.612 
0.00011136719671653768, 52.644 
0.00012057372700758654, 53.484 
0.0001290491088868885, 54.582 
0.00013874990681798672, 55.35 
0.00014756752837938298, 55.74 
0.00015697134146238286, 56.556 
0.00016468941197903404, 56.91 
0.0001744623348018133, 57.336 
0.0001831682334917821, 57.894 
0.0001920721220804831, 58.284 
0.00020085721672994476, 58.632 
0.00020973423526096066, 58.824 
0.00021845427608655317, 59.268 
0.00022723866362923365, 59.436 
0.0002363928680184747, 59.736 
0.00024520412561884026, 59.91 
0.0002538442633781587, 60.06 
0.0002627743149177636, 60.216 
0.00027124262572925367, 60.498 
0.00028029147120809794, 60.588 
0.00028865513021597247, 60.744 
0.0002968469622760186, 60.888 
0.0003066990810582908, 61.122 
0.0003146540323466394, 61.224 
0.0003237948017070379, 61.326 
0.000331592068183182, 61.386 
0.00034008724905235717, 61.578 
0.00034931994229430986, 61.698 
0.00035735408954215147, 61.848 
0.0003657835094806763, 61.896 
0.000374765886922089, 61.926 
0.00038285306717851953, 62.13 
0.00039136168307653724, 62.142 
0.0004000541467376635, 62.232 
0.00040848356667618835, 62.238 
0.0004169129866147132, 62.346 
0.0004254216025127309, 62.412 
0.000433351805063738, 62.406 
0.0004421503347420423, 62.532 
0.00044997376416909025, 62.55 
0.00045848167296032674, 62.652 
0.0004666480491762502, 62.724 
0.000474497641554202, 62.694 
0.00048303242040312366, 62.802 
0.0004911987966190471, 62.922 
0.0004992591068177926, 62.922 
0.0005079784405366039, 62.97 
0.0005155911521428582, 62.976 
0.0005239152131709863, 63.03 
0.0005315540877281446, 62.988 
0.0005398781487562726, 63.108 
0.0005475962192729237, 63.114 
0.0005559726062028597, 63.258 
0.0005641913083205909, 63.264 
0.0005720416078053239, 63.318 
0.0005796281564606743, 63.3 
0.0005882414241623077, 63.3 
0.000596433963329135, 63.444 
0.000604336588715676, 63.402 
0.0006118701043624373, 63.45 
0.000619825055650786, 63.468 
0.0006268324838523447, 63.486 
0.0006353142296926773, 63.504 
0.0006430853332179176, 63.54 
0.0006509610885467732, 63.564 
0.0006587852250806024, 63.594 
0.0006664764255395685, 63.642 
0.0006744844098365062, 63.588 
0.0006822816763126503, 63.63 
0.0006901051057396982, 63.672 
