AMP_VRMS, phase 
0.002549056306567197, 60.87 
0.002569286631576944, 60.846 
0.002591199870725915, 60.804 
0.0026122716528052745, 60.768 
0.002635033420091669, 60.738 
0.002657795187378064, 60.696 
0.0026813984117340715, 60.678 
0.002704153107952654, 60.636 
0.0027285977893782734, 60.6 
0.002753890998941316, 60.558 
0.0027791771374365472, 60.528 
0.002804463275931778, 60.486 
0.0028305979425644326, 60.438 
0.0028567255381292756, 60.408 
0.002884543118901155, 60.366 
0.002912360699673033, 60.33 
0.002940178280444912, 60.276 
0.0029688373182864027, 60.234 
0.0029991863413349295, 60.186 
0.003029528293315644, 60.138 
0.003059877316364171, 60.096 
0.0030919092535519215, 60.054 
0.003124782647809284, 60.0 
0.003158497499136259, 59.946 
0.0031922123504632333, 59.898 
0.0032267757299276317, 59.844 
0.0032630220235312537, 59.784 
0.0032992683171348767, 59.736 
0.003337197524877723, 59.682 
0.003375975260757993, 59.616 
0.003415594453707875, 59.556 
0.0034560692458629936, 59.496 
0.0034973713529521, 59.436 
0.003540363445248242, 59.358 
0.0035841969946139953, 59.298 
0.003628872001049362, 59.232 
0.0036760713786935643, 59.154 
0.00372411928447519, 59.088 
0.00377301571839424, 59.016 
0.003824429452454314, 58.932 
0.0038758502575821996, 58.848 
0.0039297954339189214, 58.782 
0.003986272052532291, 58.686 
0.00404274867114566, 58.59 
0.0041017567320356775, 58.506 
0.004164137692271955, 58.404 
0.004226511581440421, 58.302 
0.004292258369955145, 58.206 
0.004359695143676906, 58.098 
0.004429663359675315, 57.978 
0.00450215594688256, 57.864 
0.004577172905298641, 57.762 
0.004655569834128794, 57.636 
0.0047373325912373945, 57.516 
0.004819936805415606, 57.378 
0.004906762447077503, 57.216 
0.005000326816364106, 56.94 
0.005093891185650711, 56.88 
0.00519251843949061, 56.76 
0.005295352978678569, 56.598 
0.005403250402419825, 56.43 
0.005515362182576952, 56.256 
0.005633371233289175, 56.07 
0.005759816067900953, 55.866 
0.0058896267307911795, 55.65 
0.006025341735304314, 55.464 
0.0061677954674421555, 55.248 
0.00631783645534213, 55.002 
0.006474623241934622, 54.762 
0.006640687269496283, 54.516 
0.006814331481752264, 54.24 
0.00699895706232007, 53.946 
0.00719537718399807, 53.646 
0.007402700892241965, 53.322 
0.007623601050684644, 52.962 
0.007857936237969865, 52.59 
0.00810740351037248, 52.194 
0.008372922106708027, 51.768 
0.008659512485122936, 51.306 
0.008965548300020474, 50.832 
0.009295130770731522, 50.298 
0.009650027664209053, 49.722 
0.010032713854187211, 49.098 
0.010449129037627968, 48.426 
0.01090005103199063, 47.688 
0.011391490244915281, 46.878 
0.011929315662685768, 46.002 
0.012519325560907823, 45.018 
0.01316922740349638, 43.92 
0.013887506471825675, 42.714 
0.014719488310569767, 41.322 
0.015575865333264794, 39.846 
0.016568855386085064, 38.118 
0.017679861560685368, 36.156 
0.018929107111007638, 33.894 
0.02033681529099382, 31.284 
0.021916491840164566, 28.254 
0.023688289301783697, 24.708 
0.025655743209757147, 20.532 
0.027798559599464864, 15.606 
0.030049209773303526, 9.816 
0.03229483948899576, 3.042 
0.03431108376487108, -4.728 
0.035899245595416074, -13.704 
0.03652637859965042, -22.65 
0.036266728989598714, -32.07 
0.03509335599689776, -41.154 
0.03323889775255792, -49.524 
0.031000056261965076, -56.946 
0.02864659276214189, -63.366 
0.026350334200916696, -68.826 
0.02421600309258322, -73.47 
0.022273863607376248, -77.418 
0.02053742148481644, -80.772 
0.018996565097932835, -83.646 
0.017624212257005983, -86.118 
0.016410392756421158, -88.272 
0.015331418519008605, -90.138 
0.01436713700150451, -91.794 
0.013503901043031973, -93.252 
0.012731740437976263, -94.554 
0.012030431932395445, -95.712 
0.011399904815611402, -96.756 
0.01082332994623189, -97.71 
0.01029398980983564, -98.544 
0.00981520780829423, -99.324 
0.009373478202086994, -100.044 
0.008968871701892051, -100.704 
0.008594670793288128, -101.304 
0.008247339942369297, -101.856 
0.007923626457942095, -102.378 
0.007623601050684644, -102.84 
0.007343728186691008, -103.302 
0.007084078576639307, -103.722 
0.00683118890741575, -104.106 
0.006608655332308533, -104.466 
0.006392860484826022, -104.814 
0.006188867249521514, -105.132 
0.005996682697462823, -105.42 
0.005812919787168063, -105.708 
0.005642648474258342, -105.978 
0.0054791158889733295, -106.236 
0.005324019087587872, -106.482 
0.005177343927966347, -106.704 
0.005037414567037341, -106.932 
0.004904231004800854, -107.13 
0.004777793241256888, -107.328 
0.004656411291198406, -107.52 
0.004540085154625406, -107.706 
0.004428814831537891, -107.874 
0.004322607393003672, -108.036 
0.0042214557679549364, -108.198 
0.004125359956391684, -108.348 
0.004030954130035468, -108.486 
0.003941597046096924, -108.618 
0.0038556199325724522, -108.756 
0.0037713257331872035, -108.882 
0.003690404433148215, -109.02 
0.00361453894659471, -109.146 
0.003540363445248242, -109.254 
